spaceId	spaceName
6812	5楼西094
6813	5楼西095
6814	5楼西096
6815	5楼西097
6816	5楼西098
6817	5楼西099
6818	5楼西100
6819	5楼西101
6820	5楼西102
6821	5楼西103
6822	5楼西104
6823	5楼西105
6824	5楼西106
6825	5楼西107
6826	5楼西108
6827	5楼西109
6828	5楼西110
6829	5楼西111
6830	5楼西112
6831	5楼西113
6832	5楼西114
6833	5楼西115
6834	5楼西116
6835	5楼西117
6836	5楼西118
6837	5楼西119
6838	5楼西120
6839	5楼西121
6840	5楼西122
6841	5楼西123
6842	5楼西124
6843	5楼西125
6844	5楼西126
6845	5楼西127
6846	5楼西128
6849	5楼西131
6851	5楼西133
6852	5楼西134
6853	5楼西135
6854	5楼西136
6855	5楼西137
6859	5楼西141
6861	5楼西143
6862	5楼西144
6863	6楼东001
6864	6楼东002
6865	6楼东003
6866	6楼东004
6867	6楼东005
6868	6楼东006
6869	6楼东007
6870	6楼东008
6871	6楼东009
6872	6楼东010
6873	6楼东011
6874	6楼东012
6875	6楼东013
6876	6楼东014
6877	6楼东015
6878	6楼东016
6879	6楼东017
6880	6楼东018
6881	6楼东019
6882	6楼东020
6883	6楼东021
6884	6楼东022
6885	6楼东023
6886	6楼东024
6887	6楼东025
6888	6楼东026
6889	6楼东027
6890	6楼东028
6891	6楼东029
6892	6楼东030
6893	6楼东031
6894	6楼东032
6895	6楼东033
6896	6楼东034
6897	6楼东035
6898	6楼东036
6899	6楼东037
6900	6楼东038
6901	6楼东039
6902	6楼东040
6903	6楼东041
6904	6楼东042
6905	6楼东043
6906	6楼东044
6907	6楼东045
6908	6楼东046
6909	6楼东047
6910	6楼东048
6911	6楼东049
6912	6楼东050
6913	6楼东051
6914	6楼东052
6915	6楼东053
6916	6楼东054
6917	6楼东055
6918	6楼东056
6919	6楼东057
6920	6楼东058
6921	6楼东059
6922	6楼东060
6923	6楼东061
6924	6楼东062
6925	6楼东063
6926	6楼东064
6927	6楼东065
6928	6楼东066
6929	6楼东067
6930	6楼东068
6931	6楼东069
6932	6楼东070
6933	6楼东071
6934	6楼东072
6935	6楼东073
6936	6楼东074
6937	6楼东075
6938	6楼东076
6939	6楼东077
6940	6楼东078
6941	6楼东079
6942	6楼东080
6943	6楼东081
6944	6楼东082
6945	6楼东083
6946	6楼东084
6947	6楼东085
6948	6楼东086
6949	6楼东087
6950	6楼东088
6951	6楼东089
6952	6楼东090
6953	6楼东091
6954	6楼东092
6955	6楼东093
6956	6楼东094
6957	6楼东095
6958	6楼东096
6959	6楼东097
6960	6楼东098
6961	6楼东099
6962	6楼东100
6963	6楼东101
6964	6楼东102
6965	6楼东103
6966	6楼东104
6967	6楼东105
6968	6楼东106
6969	6楼东107
6970	6楼东108
6971	6楼东109
6972	6楼东110
6973	6楼东111
6974	6楼东112
6975	6楼东113
6976	6楼东114
6977	6楼东115
6978	6楼东116
6979	6楼东117
6980	6楼东118
6981	6楼东119
6982	6楼东120
6983	6楼东121
6984	6楼东122
6985	6楼东123
6986	6楼东124
6987	6楼东125
6988	6楼东126
6989	6楼东127
6990	6楼东128
6991	6楼东129
6992	6楼东130
6993	6楼东131
6994	6楼东132
6995	6楼东133
6996	6楼东134
6997	6楼东135
6998	6楼东136
6999	6楼东137
7000	6楼东138
7001	6楼东139
7002	6楼东140
7003	6楼东141
7004	6楼东142
7005	6楼东143
7006	6楼东144
7007	6楼东145
7008	6楼东146
7009	6楼东147
7010	6楼东148
7011	6楼东149
7012	6楼东150
7013	6楼东151
7014	6楼东152
7015	6楼东153
7016	6楼东154
7017	6楼东155
7018	6楼东156
